Year,Inflation Rate ,Interest Rate,Median Weekly Income,Infant Mortality Rate,Employment Rate 
2008,0.0196,0.0463,460.6,481.4030303,74.9
2009,0.0249,0.0063,470.8,454.0606061,73.3
2010,0.0386,0.005,486.3,452.6393939,72.4
2011,0.0257,0.005,486.5,438.3575758,71.2
2012,0.0229,0.005,492.3,429,71.6
2013,0.0145,0.005,509.4,420.9272727,72.2
2014,0.0037,0.005,513.5,412.6787879,73.7
2015,0.0101,0.005,526.1,426.9757576,74.2
2016,0.0256,0.0041,537.1,422.5030303,74.3
2017,0.0229,0.0052,546.8,412.4,75.4
2018,0.0174,0.0059,565,414.4878788,75.2
2019,0.0099,0.0075,584.1,412.8121212,75.9
2020,0.0252,0.0075,594.1,439.6212121,74.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
