Year,Inflation Rate ,Interest Rate,Median Weekly Income,Infant Mortality Rate
2008,0.0196,0.0463,521.1,410
2009,0.0249,0.0063,532.7,377.8
2010,0.0386,0.005,545.2,365.4
2011,0.0257,0.005,545.2,358.9
2012,0.0229,0.005,549.4,346
2013,0.0145,0.005,573.9,336.6
2014,0.0037,0.005,573.9,341.5
2015,0.0101,0.005,572.6,349.3
2016,0.0256,0.0041,570.2,331.4
2017,0.0229,0.0052,568.7,333.7
2018,0.0174,0.0059,594.5,342.1
2019,0.0099,0.0075,629.8,339.5
2020,0.0252,0.0075,605.1,347.7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
